('2856014194', '静水团', 'f', '811', '46822'), 
('2772524700', '丫头团', 'f', '342', '58154'), 
('3166918867', '百合团', 'f', '414', '15082'), 
('3929486751', '省钱-团', 'f', '685', '7655'), 
('1874312763', '女王团团购', 'f', '431', '12404'), 
('2824865087', '熊猫团-西施', 'f', '404', '24915'), 
('5194033982', '败家小兔妞', 'f', '57', '43'), 
('2719507313', '紫櫻妖妖', 'f', '696', '400'), 
('2417891485', '丸子家香港美妆代购', 'f', '387', '173'), 
('2629649462', '无鞋坊', 'f', '30', '228'), 
('1800470435', '果C果C-', 'f', '212', '278'), 
('3154225440', 'xiaoA斗地主', 'f', '315', '167'), 
('2853168275', '莫离莫弃__', 'f', '170', '120'), 
('5055989140', '逆袭团', 'f', '421', '33965'), 
('2762850725', '阿喵准备去减肥', 'f', '458', '339'), 
('3881351554', '火龙果儿ooo', 'f', '252', '65'), 
('3679319833', '桃心全球购', 'f', '271', '1164'), 
('1723143832', 'cythia_yo', 'f', '109', '96'), 
('1893413222', '张凯丽很easy', 'f', '374', '620'), 
('2055150937', 'natalie11211', 'f', '784', '204'), 
('3135020445', '慕仙儿', 'f', '42', '23'), 
('2530923805', '我叫未未央', 'f', '234', '350'), 
('1549730153', '我头上有光环', 'f', '251', '525'), 
('2714357731', '钮钴禄-伊兰', 'f', '226', '188'), 
('3819227866', 'Sm-起个名字还真挺难', 'f', '257', '390'), 
('1705254055', '文欣Minnie', 'f', '123', '2863'), 
('2911776411', '-LlliuFuuyao', 'f', '1859', '773'), 
('3042884874', 'countrybiatch', 'f', '94', '16'), 
('5303227805', 'Wangyy的', 'f', '134', '45'), 
('3318719430', 'ZX爱水果', 'f', '422', '142'), 
('1902353562', '菜小葵', 'f', '171', '1364'), 
('2060528511', 'Qian多多-Morning', 'f', '361', '205'), 
('3741495857', '月光快跑', 'f', '232', '134'), 
('2756907123', 'monicaaa123', 'f', '238', '88'), 
('1652935565', '宅妞团', 'f', '561', '4773'), 
('1890726017', '富婆团', 'f', '1076', '100157'), 
('3263462215', 'DaMeng_关关', 'f', '188', '142'), 
('1939360962', '文小惠christina', 'f', '250', '201'), 
('2119536783', '汏岩岩', 'f', '249', '577'), 
('5285148374', '钱包君快醒醒', 'f', '330', '57'), 
('1243497582', 'angel-chentang', 'f', '412', '234'), 
('1806958084', '朱小小小', 'f', '413', '3636'), 
('1569527135', 'KK__house', 'f', '1014', '1794'), 
('1680768357', '坑爹的小号已被用', 'f', '52', '24'), 
('2297519393', '宋小肉在北京', 'f', '404', '256'), 
('3139764001', '小蚜虫想要环游世界', 'f', '80', '48'), 
('2644520481', '牛奶代购正品妞', 'f', '525', '1042'), 
('2569398822', 'bettersss', 'f', '553', '98'), 
('1888061420', '柯辷', 'f', '456', '441'), 
('2104886891', '-阳光依然明媚', 'f', '34', '57'), 
('2642126291', 'YOYO团购', 'f', '279', '507'), 
('3890033229', '我是小琪小琪', 'f', '118', '38'), 
('1917875032', '涵子223', 'f', '353', '714'), 
('1219980981', '鸵鸟驼鸟', 'f', '455', '167'), 
('1728594731', '远在灯火阑珊', 'f', '44', '16'), 
('1782324932', '柠檬菠萝OO', 'f', '445', '543'), 
('1806457272', '39_Tsang', 'f', '464', '1776'), 
('2024122315', '联通华盛吴静', 'f', '116', '394'), 
('3142315331', '化妆师陈小云', 'f', '86', '70'), 
('1976454045', '月半月半的小C', 'f', '219', '355'), 
('3306159661', '二小姐么么03', 'f', '210', '56'), 
('2171279711', '大白兔奶猫', 'f', '603', '261'), 
('5020220746', 'Milk_高飞', 'f', '346', '86'), 
('2585313043', '苔藓姬', 'f', '91', '31'), 
('2725678595', '肉肉团XiXi', 'f', '303', '15392'), 
('1724623863', '鬼子六六', 'f', '436', '305'), 
('2456064323', '一头短发_', 'f', '244', '437'), 
('3193658957', '没有理由走', 'f', '93', '89'), 
('1974343211', 'Michelle-雪雪雪', 'f', '381', '522'), 
('5200273189', '麻麻的天使宝贝', 'm', '39', '5'), 
('2820202004', 'cyst93', 'f', '242', '126'), 
('2308042047', '胡筱3', 'f', '313', '247'), 
('1941082585', 'Little豆豆豆', 'f', '271', '99'), 
('1700810032', '米多多团', 'f', '474', '12068'), 
('1655008842', '天虹电商买手Jennifer', 'f', '1156', '1019'), 
('1785772632', '我一定是疯了_', 'f', '756', '2048'), 
('3199361191', 'change-i-o-u-up', 'f', '800', '189'), 
('1713221743', '想要去旅行的Ci君', 'f', '593', '405'), 
('1600208001', '阿塔00', 'f', '101', '121'), 
('3846822522', '草原上的小羊们', 'f', '48', '18'), 
('1491356314', '赖赖的海獭小姐', 'f', '401', '208'), 
('3010339325', 'Ooone_Day', 'f', '312', '92'), 
('3879607782', '安安的的姐姐', 'f', '1726', '375'), 
('1821970041', '于雅-serendipity', 'f', '273', '936'), 
('1879501387', '的婴丁的安丹勒物璐', 'f', '225', '234'), 
('2652534597', '谢小某Vv', 'f', '32', '51'), 
('2327218011', '朵朵郎阳阳', 'f', '229', '126'), 
('2987244833', '小贺de麻麻', 'f', '184', '192'), 
('5100779151', '蛋sama_', 'f', '14', '4'), 
('2563223023', '花开似海久久', 'm', '198', '10'), 
('1365381550', 'zhoucuidu', 'f', '47', '12'), 
('1563637590', '沅子moon', 'f', '241', '204'), 
('1909631793', '我就是Lantern啊', 'f', '707', '320'), 
('1820215445', 'GeorginaZhu', 'f', '300', '760'), 
('1888965760', 'subzjdellae', 'm', '322', '120'), 
('2934262601', 'Nimobabylsy', 'f', '23', '98'), 
('3422219160', '变态辣糖_ZJY', 'f', '373', '224'), 
('1862364875', '乖乖帅帅文子', 'f', '271', '209'), 
('1673932617', '路大姐', 'f', '458', '22528'), 
('2532742987', '赵晓薇99', 'f', '295', '132'), 
('3552094427', '买喜欢的东西遇眼光相似的人', 'f', '127', '46'), 
('1650795753', 'scottsfish', 'f', '219', '408'), 
('1784403300', '机车Girl-lena', 'f', '741', '586'), 
('3092164623', '周芮好_29176', 'm', '196', '60'), 
('2025603295', '陈蔚_', 'f', '152', '686'), 
('1864346361', '小影不配有憾事', 'f', '91', '102'), 
('1435915634', 'ShootingC', 'f', '199', '300'), 
('1305692351', '一只咸鱼rr', 'f', '138', '287'), 
('2464865122', '大丁丁已放弃剁手', 'f', '207', '94'), 
('2130809717', 'C是感觉犯', 'f', '219', '308'), 
('2175760163', '小蓉蓉911118', 'f', '373', '285'), 
('2143964703', '晋_THU', 'f', '349', '280'), 
('1909214994', '一江秋水莺', 'f', '47', '87'), 
('2109885790', 'Yu-miao', 'f', '208', '174'), 
('1826420741', '又见花开1991', 'f', '1125', '2059'), 
('3989742212', '李小税', 'f', '87', '100'), 
('2134663333', '王非凡Annie', 'f', '603', '467'), 
('1772962484', '动感波bobiubiubiu', 'f', '193', '105'), 
('1657748312', 'fanfande绝配', 'f', '320', '265'), 
('2027693327', '可爱的小李美丽的小李', 'f', '250', '252'), 
('2274148541', '花吃吃花', 'f', '399', '124'), 
('2448865995', 'L没胸還很凶', 'f', '94', '132'), 
('1762587612', 'eniy-young', 'f', '116', '260'), 
('3301366511', 'dodosiu', 'f', '233', '57'), 
('2167327277', 'vivinie-lin', 'f', '48', '85'), 
('2863178694', '胖妞在减肥2013', 'f', '69', '82'), 
('2164115517', 'FFF黑妞', 'f', '1034', '338'), 
('5068778486', '薰小姐beauty', 'f', '61', '13'), 
('2294318713', '_Yemmm', 'f', '160', '378'), 
('3329276174', 'Ossuitcase', 'f', '79', '28'), 
('1642379287', '冰冰_koko', 'f', '377', '540'), 
('2424093805', '达西先生你好', 'f', '121', '129'), 
('1727616251', 'KK丫蛋儿', 'f', '62', '26'), 
('1873944820', 'papaya520', 'f', '490', '474'), 
('1808510560', 'pinkpink_Iris', 'f', '374', '460'), 
('1814676034', '卷毛小倩', 'f', '317', '497'), 
('3312780613', 'missmeyh', 'f', '405', '182'), 
('1962222815', 'MiniAmber_', 'f', '307', '37'), 
('2623468423', 'LB笨笨笨', 'f', '295', '162'), 
('1831719930', '浅吟低唱的猪', 'f', '62', '101'), 
('1726713027', '养了一只2b猫', 'f', '179', '87'), 
('2575272717', '有个茁', 'f', '431', '2789'), 
('3899507291', '拿刀砍电线君', 'f', '171', '41'), 
('3961966405', 'hello借书卡', 'f', '267', '111'), 
('2643397993', 'JGHRM', 'f', '419', '359'), 
('1883285017', 'Wu-Shu-Hui-0598', 'f', '159', '111'), 
('1616638310', '杜鹃----', 'f', '558', '410'), 
('2279573717', '咿咿娘', 'f', '245', '96'), 
('1976693541', '郑州丫头', 'f', '1590', '2071'), 
('3936627373', '心塞万年兔俊呀', 'f', '78', '24'), 
('3133400827', '晓婷卢', 'f', '144', '47'), 
('2206824880', 'Rola大萌神', 'f', '923', '209'), 
('2137170415', 'freshairT', 'f', '143', '93'), 
('1938679787', 'Daisy和Amy', 'f', '247', '92'), 
('3324404730', '魍魉HAbi', 'f', '1114', '239'), 
('1613188472', '丿Dd丨灬丁', 'f', '581', '160'), 
('3954165562', '涵涵成长纪念册', 'm', '1126', '25'), 
('3941098375', '爆款新品推荐', 'f', '301', '114'), 
('2633509870', '我是一只小小小小小小小小马甲', 'f', '234', '57'), 
('2660591010', 'O红果怡O', 'f', '380', '252'), 
('2771796023', '米唐豆豆豆', 'f', '474', '475'), 
('1869760892', '怪小孩不出去玩就心堵', 'f', '95', '229'), 
('2076565553', 'Dalia-姑凉', 'f', '227', '338'), 
('1638306722', 'Hon9红er', 'f', '122', '62'), 
('2106923071', '曼-妙', 'f', '521', '588'), 
('1049776863', '赖小色', 'f', '320', '244'), 
('3959244798', '嘉反馈', 'f', '69', '22'), 
('5137894003', '李心兔儿_913', 'f', '63', '33'), 
('3530265014', '碳碳是只猫', 'f', '1635', '242'), 
('5305009028', '种草机biubiu', 'f', '111', '18'), 
('2493910474', 'Jenny_Sunshine0057', 'f', '127', '158'), 
('5067804532', 'xixiandlily', 'f', '65', '68'), 
('3626663074', '爱玩儿小号YummyYummy', 'f', '98', '46'), 
('1873657644', 'Babyelian', 'f', '80', '151'), 
('3987924824', '不敢让麻麻看见的小号', 'f', '193', '952'), 
('1313752190', '妖精筱溜溜', 'f', '439', '730'), 
('2879357194', '游乐儿7766', 'f', '89', '36'), 
('3921186642', '种瓜得瓜种草得草', 'f', '385', '188'), 
('2772980863', '佳佳佳加油_zZ', 'f', '173', '248'), 
('1945559884', '缪缪-L', 'f', '403', '741'), 
('2269071465', '尤忆忆', 'f', '377', '488'), 
('2554715161', 'smartfarmer', 'f', '52', '3'), 
('1664503713', 'Lu是璐不是路', 'f', '355', '300'), 
('2862425002', '枭枭枭枭枭枭枭', 'f', '313', '143'), 
('2291334735', '吃奶的鱼鱼', 'f', '198', '92'), 
('3608453437', '健忘小姐shoe定制', 'f', '378', '1338'), 
('5121257921', '周伊沫Z', 'f', '632', '228'), 
('1612758992', 'Satinete亦腾', 'f', '295', '276'), 
('5136293419', '0小777', 'f', '95', '8'), 
('5238149649', 'erno的小号拉', 'm', '64', '15'), 
('1919527434', '少女帮', 'f', '255', '9836'), 
('1874741653', '阑珊小沫', 'f', '742', '237'), 
('3959374245', '辰宝妈妈咪', 'f', '119', '27'), 
('2705264982', '_徐妙芙', 'f', '385', '352'), 
('3861995402', '黏黏__酱', 'f', '118', '101'), 
('2287173201', '卷子卷子卷子卷', 'f', '617', '426'), 
('5281911976', '了不起的亦卿大人', 'f', '173', '31'), 
('1107875833', 'RR请好', 'f', '856', '161'), 
('1835946521', '噜苏宝贝', 'f', '284', '235'), 
('2466835073', 'BB-das', 'f', '166', '375'), 
('2486296744', '无证小歪', 'f', '83', '388'), 
('2683904383', '幸福对我冒泡泡', 'f', '237', '189'), 
('1724176330', 'Super丽丽丽', 'f', '91', '57'), 
('2976859960', '走路的狗', 'm', '439', '401'), 
('1842073462', 'C乂red', 'f', '218', '636'), 
('1680309954', '阿小秀', 'f', '812', '659'), 
('1258218573', '凤梨子', 'f', '927', '600'), 
('1909829005', 'Pao_妹', 'f', '343', '662'), 
('3950737169', '一粒小小小的米粒', 'f', '198', '89'), 
('2532956333', '小晴天904', 'f', '369', '380'), 
('2773638117', '我_不能悲伤的坐在你身边', 'f', '191', '428'), 
('3272076110', 'jh人各有志', 'f', '83', '239'), 
('2133868024', '大小Ooo', 'f', '430', '204'), 
('2833837030', '喵小喵Nuna是只喵喵呜', 'f', '165', '184'), 
('2280298990', '娟毛儿_', 'f', '273', '2606'), 
('2158149970', 'Elleeeeeeo', 'f', '335', '914'), 
('3717250073', '神叨神叨叨', 'f', '372', '166'), 
('1906120417', '懒懒的W北漂进行时', 'f', '294', '343'), 
('1784313775', '葛小思_', 'f', '295', '1033'), 
('2042594103', '_章鱼妹', 'f', '336', '752'), 
('1922367917', 'CchenY1_L', 'f', '709', '825'), 
('1800323572', '抽风的biby澳洲直邮代购', 'f', '857', '1393'), 
('3471147692', 'Tania_蜕变', 'f', '422', '90'), 
('1872788152', '苏andSuk', 'f', '293', '235'), 
('1626468894', 'kirsch__', 'f', '500', '254'), 
('1667223343', '胖思思么', 'f', '119', '30'), 
('3656172042', '优生o', 'f', '229', '265'), 
('3528378560', '大win有颗大童心', 'f', '206', '50'), 
('1857816174', '__Hhh__', 'f', '302', '607'), 
('3791330240', '思洛洛', 'f', '184', '74'), 
('3454259192', '各种欢乐多_', 'f', '152', '53'), 
('5195421143', '用户5195421143', 'f', '294', '38'), 
('1769996693', '坤坤坤Want2hide', 'f', '484', '516'), 
('1819906934', '小狗婧0', 'f', '239', '118'), 
('2624732795', '-美少女瘦瘦哒', 'f', '77', '15'), 
('2497224354', 'BFRS_卖女孩的小火柴', 'f', '171', '765'), 
('2292504665', 'IN-LOVEING', 'f', '254', '68'), 
('2050323202', '徐子然默', 'f', '163', '254'), 
('1732088367', '蓝小清新', 'f', '494', '665'), 
('3771159242', 'estrellita_wtf', 'f', '128', '95'), 
('1846387333', '夏夏穗', 'f', '827', '851'), 
('2070397307', 'ZC苏梓辰', 'f', '615', '1588'), 
('1169543747', '小乖鱼吐泡泡', 'f', '147', '244'), 
('2490958122', 'veneziakeener', 'f', '418', '89'), 
('5268578370', '小籹人dann', 'f', '132', '23'), 
('3186876952', 'jhkvgbkdibdbnbxgxsjn', 'f', '876', '111'), 
('3606376231', 'awluly1001', 'f', '68', '22'), 
('2878540740', 'sstella菡', 'f', '302', '762'), 
('1928715403', '超级超人的围脖的微博', 'f', '305', '824'), 
('1556318595', 'Hello-Vikky', 'f', '106', '281'), 
('3283586021', '林掌柜奋起要涂太阳井', 'f', '282', '220'), 
('2519588434', 'MINI美女', 'f', '579', '99'), 
('1780827491', 'Vizzieinpinkdream', 'f', '172', '247'), 
('1821031740', '小J_杰小卡', 'f', '591', '935'), 
('3212768803', 'DreamyBb孤独患者', 'f', '869', '81'), 
('3977947433', '清馨忄', 'm', '343', '44'), 
('3564111074', '笑杏紫', 'f', '106', '1072'), 
('1560842532', '嘟嘟妈咪啊', 'f', '227', '378'), 
('3986591836', '秋末而已', 'f', '209', '42'), 
('5254042110', '水苏木莲', 'f', '625', '43'), 
('1937078937', '兔吱吱小马甲', 'f', '381', '53'), 
('3911383005', '买买买推推推转转转', 'f', '178', '196'), 
('2774091181', 'Hey_Judexx', 'f', '335', '213'), 
('1733845542', '我已经不知道要改成杨什么了', 'm', '340', '1255'), 
('5157672242', '阿童妹小盆友', 'f', '167', '42'), 
('2093785852', 'cici橙子姐', 'f', '586', '1361'), 
('3787098061', '玩儿个大的', 'f', '542', '60'), 
('5193257277', 'Miss_一朵朵', 'f', '32', '13'), 
('1645365681', '莫莫才没有玻璃心', 'f', '567', '617'), 
('1792816572', 'Miss_廉', 'f', '167', '243'), 
('1441631622', '骆暖暖ABBY', 'f', '627', '2536'), 
('2207750852', '三虫合体终极形态刘阿肿', 'f', '393', '134'), 
('1284008911', '笨笨跳跳小肥羊', 'f', '180', '256'), 
('1187557822', 'ivypretty01', 'f', '198', '95'), 
('2504699073', 'su得桦', 'f', '433', '343'), 
