('1772631000', '蒂国美美', 'f', '1757', '2335113'), 
('3800839594', 'MQueen萌原单奢侈品汇', 'f', '661', '441438'), 
('2420665591', '时尚亲子团购', 'f', '2910', '202465'), 
('1326937777', 'Dolly王丛丛', 'f', '1162', '205558'), 
('1782665783', '潘onlyvivi', 'f', '415', '119529'), 
('3143931312', '_微博微信营销_', 'f', '2890', '114275'), 
('2593730361', 'Airjordan厂货总代理_蓝胖子鞋业', 'f', '1449', '110465'), 
('1812881370', '香港芭迪1992湖北站', 'f', '629', '100712'), 
('1890726017', '富婆团', 'f', '1076', '100155'), 
('2859815172', '宅宅团smile_', 'f', '1213', '96058'), 
('1548558853', 'Yihan妈', 'm', '306', '94140'), 
('1996153455', '吕丫雅', 'f', '225', '81950'), 
('1733137511', '纳瑟女鞋', 'm', '1352', '67500'), 
('1710405242', 'as公主团', 'f', '563', '67644'), 
('2772524700', '丫头团', 'f', '342', '58153'), 
('3556183767', '万色水母-万色城洪霞', 'f', '410', '52733'), 
('2591435932', '中国定制联盟', 'm', '440', '51006'), 
('1954442362', 'CottonRose定制', 'f', '188', '47367'), 
('1728801244', '超级蓝大大', 'f', '483', '47412'), 
('2856014194', '静水团', 'f', '811', '46821'), 
('2541449563', '转让闲置平台', 'f', '700', '43776'), 
('2625180307', 'Bag_Shop原单正品工厂', 'f', '234', '41933'), 
('1905433443', '兔糖_shmily', 'f', '688', '41870'), 
('1777188013', '闺蜜帮官网微博', 'f', '1460', '41097'), 
('3795656194', '深圳尚品订制', 'f', '228', '40264'), 
('1864888780', '夏小晨洁', 'f', '343', '39492'), 
('3852169581', 'Crazylady叶子家', 'f', '781', '35000'), 
('1749758930', '小神菁病', 'f', '546', '34575'), 
('1813297964', 'Janet_Diamond珠寶鉆飾定制', 'f', '1973', '33870'), 
('5055989140', '逆袭团', 'f', '421', '33963'), 
('1849784565', '任小溶cici', 'f', '218', '30670'), 
('1018049033', 'Momo', 'f', '669', '29897'), 
('2538254240', '鹿八岁的小树苗', 'f', '997', '28980'), 
('2167972271', '白晶晶__', 'f', '462', '28794'), 
('1728959830', 'Miss猪不哭', 'f', '691', '27658'), 
('1783849073', '包罗万象奢品代购', 'f', '1778', '26969'), 
('2648337233', '伊麦麦MissPerfect', 'f', '236', '25958'), 
('1455482537', '资day刮脑王zz', 'f', '1023', '25229'), 
('1728163344', '岑岑Cream', 'f', '385', '25316'), 
('3542071551', 'Morigirl美少女杂货铺', 'f', '523', '25108'), 
('2270370510', '七七八八团购', 'f', '413', '24875'), 
('2824865087', '熊猫团-西施', 'f', '404', '24915'), 
('2180517813', '花兒哇花兒', 'f', '452', '23464'), 
('2716487503', '卧蚕掌柜', 'f', '115', '23134'), 
('3690090150', 'L瑞小雪', 'f', '1093', '23110'), 
('1802610363', '张小妞日本代购', 'f', '276', '22696'), 
('1492563967', '万色城_NICE徐菱子', 'f', '938', '23037'), 
('1673932617', '路大姐', 'f', '458', '22528'), 
('1992376684', '爱吃肉的小朋友丶', 'f', '557', '21778'), 
('1829571867', '猪蹄蹄大魔王', 'f', '405', '21591'), 
('1785498201', '艾芙洛钻石总代倩斓', 'f', '440', '21531'), 
('1942878353', '瑕疵夢', 'f', '654', '21440'), 
('1728916487', '神马lululu团长', 'f', '851', '21575'), 
('3385007014', 'NiNi_高端定制', 'f', '330', '20890'), 
('5109578027', '喵妹团', 'f', '139', '20734'), 
('3733077880', '进击团', 'f', '929', '20976'), 
('2176728973', 'Audrey-奥黛娜_', 'f', '715', '20551'), 
('1789405510', 'anywenna', 'f', '381', '20568'), 
